#,Asset Type,Product,ASSET TAG,Receiving date,Keyboard,SERIAL NUMBER,PO,MODEL,ERASED,CUSTOMER,CONDITION,DIAG,HARDWARE TYPE,CPU TYPE,CPU CORES,GPU CORES,MEMORY,HARDDRIVE,STATUS,CHARGER,INCLUDED,INVENTORY,country
,PC,ThinkPad T14 14  Gen 5,251,,EN,SPF56QC0E,,ThinkPad T14,COMPLETED,Wise,NEW,NA,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU  -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, , ,16,256,,,,SHIPPED,Singapore
,PC,ThinkPad T14 14  Gen 5,252,,EN,SPF56QC0P,,ThinkPad T14,COMPLETED,Wise,NEW,NA,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU  -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, , ,16,256,,,,SHIPPED,Singapore
,PC,ThinkPad T14 14  Gen 5,253,,EN,SPF56QC17,,ThinkPad T14,COMPLETED,Wise,NEW,NA,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU  -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, , ,16,256,,,,SHIPPED,Singapore
,PC,ThinkPad T14 14  Gen 5,254,,EN,SPF56QC1Q,,ThinkPad T14,COMPLETED,Wise,NEW,NA,ThinkPad T14 14  Gen 5 Ultra 5 135U  -Core CPU  -Core GPU 16GB RAM 256GB SSD,Ultra 5 135U, , ,16,256,,,,SHIPPED,Singapore
,PC,ThinkPad T14 14  Gen 5,255,,EN,SDKWR50QY4P,,ThinkPad T14,COMPLETED,Wise,NEW,NA,ThinkPad T14-,,,,,,,,,SHIPPED,Singapore
,APPLE,MacBook Pro 14  Apple,265,25-Nov-24,EN,MQ07VND6WW,,A2992,COMPLETED,Braze,NEW,ADP000,MacBook Pro 14  Apple M3 11-Core CPU 14-Core GPU 18GB RAM 512GB SSD,M3,11,14,18,512,,INCLUDED,,SHIPPED,Singapore
,APPLE,MacBook Air 13  Apple,275,28-Nov-24,EN,SLYCTX90YXM,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M2,8,8,16,256,,INCLUDED,,SHIPPED,Singapore
,APPLE,MacBook Air 13  Apple,277,28-Nov-24,EN,SJQQ91WHD4X,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M2,8,8,16,256,,INCLUDED,,SHIPPED,Singapore
,APPLE,MacBook Air 13  Apple,280,28-Nov-24,EN,SFY4GYV40YV,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M2,8,8,16,256,,INCLUDED,,SHIPPED,Singapore
,PC,ThinkPad T14 14  Gen 5,F8.308,23-Dec-24,EN,SPF5DRV7E,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 i5  -Core CPU  -Core GPU 16GB RAM 256GB SSD,i5, , ,16,256,,INCLUDED,,IN STOCK,Singapore
,PC,ThinkPad T14 14  Gen 5,F8.315,23-Dec-24,EN,SPF5DRXGC,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 i5  -Core CPU  -Core GPU 16GB RAM 256GB SSD,i5, , ,16,256,,INCLUDED,,IN STOCK,Singapore
,PC,ThinkPad T14 14  Gen 5,F8.318,23-Dec-24,EN,SPF5DRXFW,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 i5  -Core CPU  -Core GPU 16GB RAM 256GB SSD,i5, , ,16,256,,INCLUDED,,IN STOCK,Singapore
,PC,ThinkPad T14 14  Gen 5,F8.323,23-Dec-24,EN,SPF5DTPHG,,ThinkPad T14,COMPLETED,Wise,NEW,ADP000,ThinkPad T14 14  Gen 5 i5  -Core CPU  -Core GPU 16GB RAM 256GB SSD,i5, , ,16,256,,INCLUDED,,SHIPPED,Singapore
187,PC,Lenovo ThinkPad P1 Gen 6,B1.187,29-May-24,EN,PW0BF7EM,,21FV001PUS,COMPLETED,LastPass,NEW,ADP000,Lenovo ThinkPad P1 Gen 6 i7-13800H vPro   -Core CPU  -Core GPU 32GB RAM 512GB SSD,i7-13800H vPro , , ,32,512,,INCLUDED,,IN STOCK,Singapore
194,APPLE,MacBook Pro 16  Apple,B1.194,15-Aug-24,EN,SMYFYYXTV59,,A2991,COMPLETED,Abnormal Security,NEW,ADP000,MacBook Pro 16  Apple M3PRO 12-Core CPU 18-Core GPU 36GB RAM 512GB SSD,M3PRO,12,18,36,512,,INCLUDED,,SHIPPED,Singapore
244,APPLE,MacBook Pro 16  Apple,B1.244,22-Oct-24,EN,SGQG5047034,,A2991,COMPLETED,Abnormal Security,NEW,ADP000,MacBook Pro 16  Apple M3 Max 14-Core CPU 30-Core GPU 36GB RAM 1024GB SSD,M3 Max,14,30,36,1024,,INCLUDED,,IN STOCK,Singapore
,APPLE,MacBook Air 13  Apple,B1.341,03-Jan-25,EN,SFRFXVRP9KG,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M4 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M4,8,8,16,256,,,,IN STOCK,Singapore
,APPLE,MacBook Air 13  Apple,B1.342,13-Jan-25,EN,SM9N92KW26C,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M4 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M4,8,8,16,256,,,,IN STOCK,Singapore
,APPLE,MacBook Air 13  Apple,B1.343,13-Jan-25,EN,SJK034D073D,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M4 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M4,8,8,16,256,,,,IN STOCK,Singapore
,APPLE,MacBook Air 13  Apple,B1.344,13-Jan-25,EN,SJNJ7H3YRXY,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M4 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M4,8,8,16,256,,,,IN STOCK,Singapore
,APPLE,MacBook Air 13  Apple,B1.345,13-Jan-25,EN,SD2T72L4M9C,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M4 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M4,8,8,16,256,,,,IN STOCK,Singapore
,APPLE,MacBook Air 13  Apple,B1.346,13-Jan-25,EN,SF7QTK43XHY,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M4 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M4,8,8,16,256,,,,IN STOCK,Singapore
,APPLE,MacBook Air 13  Apple,B1.347,13-Jan-25,EN,SLXN4CY9QT3,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M4 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M4,8,8,16,256,,,,SHIPPED,Singapore
,APPLE,MacBook Air 13  Apple,B1.348,13-Jan-25,EN,SCR6P7KQ1C7,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M4 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M4,8,8,16,256,,,,IN STOCK,Singapore
,APPLE,MacBook Air 13  Apple,B1.349,13-Jan-25,EN,SHCJ4XFQC56,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M4 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M4,8,8,16,256,,,,IN STOCK,Singapore
,APPLE,MacBook Air 13  Apple,B1.350,13-Jan-25,EN,SL9HTJ3QNVK,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M4 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M4,8,8,16,256,,,,IN STOCK,Singapore
58,APPLE,MacBook Air 13  Apple,B1.58,25-Jul-24,EN,SJ6R1FW376H,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,IN STOCK,Singapore
60,APPLE,MacBook Air 13  Apple,B1.60,25-Jul-24,EN,SC3H77K2H7D,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
62,APPLE,MacBook Air 13  Apple,B1.62,25-Jul-24,EN,SH70T6FMGFV,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
122,APPLE,MacBook Air 13  Apple,B2.122,25-Jul-24,EN,SF7X7J37Q09,,A2337,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD,M2,8,8,8,256,,INCLUDED,,SHIPPED,Singapore
123,APPLE,MacBook Air 13  Apple,B2.123,10-Jun-24,EN,SN5VFYVK125,,A3113,COMPLETED,SUI Foundation,NEW,ADP000,MacBook Air 13  Apple M3 8-Core CPU 12-Core GPU 8GB RAM 512GB SSD,M3,8,12,8,512,,INCLUDED,,IN STOCK,Singapore
124,PC,ThinkPad X1 Carbon Gen 9 ,B2.124,08-Apr-24,EN,PF3T87VQ,,X1 CARBON GEN 9,COMPLETED,Uipath,NEW,ADP000,ThinkPad X1 Carbon Gen 9  i7-1165G7   -Core CPU  -Core GPU 16GB RAM 512GB SSD,i7-1165G7 , , ,16,512,,INCLUDED,,IN STOCK,Singapore
125,PC,ThinkPad X1 Carbon Gen 9 ,B2.125,08-Apr-24,EN,PF3T80VQ,,X1 CARBON GEN 9,COMPLETED,Uipath,NEW,ADP000,ThinkPad X1 Carbon Gen 9  i7-1165G7   -Core CPU  -Core GPU 16GB RAM 512GB SSD,i7-1165G7 , , ,16,512,,INCLUDED,,IN STOCK,Singapore
126,PC,ThinkPad X1 Carbon Gen 9 ,B2.126,08-Apr-24,EN,PF3T80S6,,X1 CARBON GEN 9,COMPLETED,Uipath,NEW,ADP000,ThinkPad X1 Carbon Gen 9  i7-1165G7   -Core CPU  -Core GPU 16GB RAM 512GB SSD,i7-1165G7 , , ,16,512,,INCLUDED,,IN STOCK,Singapore
,APPLE,MacBook Air 13  Apple,B2.278,28-Nov-24,EN,SCJ72JTXV0M,,A2681,COMPLETED,Wise,NEW,ADP000,MacBook Air 13  Apple M2 8-Core CPU 8-Core GPU 16GB RAM 256GB SSD,M2,8,8,16,256,,INCLUDED,,IN STOCK,Singapore
